Proprietary & Confidential   Recipient : ;;
Country ;Reason;Source 
Ethiopia;Monitored (FATF);http://www.fatf-gafi.org/countries/#Ethiopia
Iran;High risk/Call for action (FATF);http://www.fatf-gafi.org/countries/#Iran
Iraq;Monitored (FATF);http://www.fatf-gafi.org/countries/#Iraq
North Korea - Democratic People's Republic of North Korea (DPRK);High risk/Call for action (FATF);http://www.fatf-gafi.org/countries/#Democratic%20People's%20Republic%20of%20Korea%20(DPRK)
Serbia;Monitored (FATF);http://www.fatf-gafi.org/countries/#Serbia
Sri Lanka;Monitored (FATF);http://www.fatf-gafi.org/countries/#Sri%20Lanka
Syria;Monitored (FATF);http://www.fatf-gafi.org/countries/#Syria
Trinidad and Tobago;Monitored (FATF);http://www.fatf-gafi.org/countries/#Trinidad%20and%20Tobago
Tunisia;Monitored (FATF);http://www.fatf-gafi.org/countries/#Tunisia
Vanuatu;Monitored (FATF);http://www.fatf-gafi.org/countries/#Vanuatu
Yemen;Monitored (FATF);http://www.fatf-gafi.org/countries/#Yemen
Venezuela;Extreme level at country risk assessment map 2018;https://www.bscn.nl/sanctions-consulting/sanctions-list-countries
Crimea;Is under strict international sanctions;https://www.bscn.nl/sanctions-consulting/sanctions-list-countries
Somalia;Is under strict international sanctions;https://www.bscn.nl/sanctions-consulting/sanctions-list-countries
Tajikistan;Fractal's company expertise/ High AML risk according the Basel AML Index 2017;https://index.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2017.pdf
Uzbekistan;Previous project experience ;
Kyrgyzstan;Previous project experience ;
Libya;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Sudan;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
South Sudan;Country in transition after war;
Cuba;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Zimbabwe;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Eritrea;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Mozambique;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Malawi;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Afganistan;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Mali;High AML risk according the Basel AML Index 2017;https://index.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2017.pdf
Uganda;High AML risk according the Basel AML Index 2017;https://index.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2017.pdf
Laos;High AML risk according the Basel AML Index 2017;https://index.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2017.pdf
Guinea-Bissau;High AML risk according the Basel AML Index 2017;https://index.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2017.pdf
Cambodia;High AML risk according the Basel AML Index 2017;https://index.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2017.pdf
Tanzania;High AML risk according the Basel AML Index 2017;https://index.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2017.pdf
Libya;Is under strict international sanctions;https://www.bscn.nl/sanctions-consulting/sanctions-list-countries
Timor-Leste;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Kosovo;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018
Burundi;Extreme level at country risk assessment map 2018;http://www.coface.com/News-Publications/Publications/Country-risk-assessment-map-January-2018