Country;Friendly target jurisdiction;Friendly issuing jurisdiction ;High risk AML;Special KYC requirements;Banned 
Afghanistan;FALSE;FALSE;TRUE;FALSE;FALSE
Algeria;FALSE;FALSE;FALSE;FALSE;TRUE
Andorra;TRUE;FALSE;FALSE;FALSE;FALSE
Anguilla;TRUE;TRUE;FALSE;FALSE;FALSE
Angola;TRUE;FALSE;FALSE;FALSE;FALSE
Antigua and Barbuda;TRUE;FALSE;FALSE;FALSE;FALSE
Argentina;TRUE;FALSE;FALSE;FALSE;FALSE
Armenia;TRUE;FALSE;FALSE;FALSE;FALSE
Australia ;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;TRUE;FALSE;FALSE;FALSE;FALSE
Azerbaijan;TRUE;FALSE;FALSE;FALSE;FALSE
Bahamas;TRUE;FALSE;FALSE;FALSE;FALSE
Bahrain;TRUE;FALSE;FALSE;FALSE;FALSE
Bangladesh;FALSE;FALSE;FALSE;FALSE;TRUE
Barbados;TRUE;FALSE;FALSE;FALSE;FALSE
Belarus;TRUE;TRUE;FALSE;FALSE;FALSE
Belgium;TRUE;FALSE;FALSE;FALSE;FALSE
Belize;TRUE;FALSE;FALSE;FALSE;FALSE
Benin;TRUE;FALSE;FALSE;FALSE;FALSE
Bermuda;TRUE;TRUE;FALSE;FALSE;FALSE
Bhutan;TRUE;FALSE;FALSE;FALSE;FALSE
Bolivia;FALSE;FALSE;FALSE;FALSE;TRUE
Bosnia and Herzegovina;TRUE;FALSE;FALSE;FALSE;FALSE
Botswana;TRUE;FALSE;FALSE;FALSE;FALSE
Brazil;TRUE;FALSE;FALSE;FALSE;FALSE
British Virgin Islands;TRUE;TRUE;FALSE;FALSE;FALSE
Brunei;TRUE;FALSE;FALSE;FALSE;FALSE
Bulgaria;TRUE;FALSE;FALSE;FALSE;FALSE
Burkina Faso;TRUE;FALSE;FALSE;FALSE;FALSE
Burundi;FALSE;FALSE;FALSE;FALSE;FALSE
Cabo Verde;TRUE;FALSE;FALSE;FALSE;FALSE
Cambodia;FALSE;FALSE;TRUE;FALSE;FALSE
Cameroon;TRUE;FALSE;FALSE;FALSE;FALSE
Canada;TRUE;TRUE;FALSE;TRUE;FALSE
Cayman Islands;TRUE;TRUE;FALSE;FALSE;FALSE
Central African Republic;TRUE;FALSE;FALSE;FALSE;FALSE
Chad;TRUE;FALSE;FALSE;FALSE;FALSE
China;FALSE;FALSE;FALSE;FALSE;TRUE
Chile;TRUE;FALSE;FALSE;FALSE;FALSE
Colombia;TRUE;FALSE;FALSE;FALSE;FALSE
Comoros;TRUE;FALSE;FALSE;FALSE;FALSE
Costa Rica;TRUE;FALSE;FALSE;FALSE;FALSE
Cote d'Ivoire;TRUE;FALSE;FALSE;FALSE;FALSE
Crimea;FALSE;FALSE;TRUE;FALSE;FALSE
Croatia;TRUE;FALSE;FALSE;FALSE;FALSE
Cuba;FALSE;FALSE;FALSE;FALSE;FALSE
Cyprus;TRUE;FALSE;FALSE;FALSE;FALSE
Czech Republic;TRUE;FALSE;FALSE;FALSE;FALSE
Democratic Republic of Congo;TRUE;FALSE;FALSE;FALSE;FALSE
Denmark;TRUE;FALSE;FALSE;FALSE;FALSE
Djibouti;TRUE;FALSE;FALSE;FALSE;FALSE
Dominica;TRUE;FALSE;FALSE;FALSE;FALSE
Dominican Republic;TRUE;FALSE;FALSE;FALSE;FALSE
Ecuador;FALSE;FALSE;FALSE;FALSE;TRUE
Egypt;TRUE;FALSE;FALSE;FALSE;FALSE
El Salvador;FALSE;FALSE;FALSE;FALSE;TRUE
Equatorial Guinea;TRUE;FALSE;FALSE;FALSE;FALSE
Eritrea;FALSE;FALSE;TRUE;FALSE;FALSE
Estonia;TRUE;TRUE;FALSE;FALSE;FALSE
Ethiopia;FALSE;FALSE;TRUE;FALSE;FALSE
European Union;TRUE;FALSE;FALSE;FALSE;FALSE
Finland;TRUE;FALSE;FALSE;FALSE;FALSE
Fiji;TRUE;FALSE;FALSE;FALSE;FALSE
France;TRUE;TRUE;FALSE;FALSE;FALSE
Gabon;TRUE;FALSE;FALSE;FALSE;FALSE
Gambia;TRUE;FALSE;FALSE;FALSE;FALSE
Georgia;TRUE;FALSE;FALSE;FALSE;FALSE
Germany;TRUE;TRUE;FALSE;FALSE;FALSE
Ghana;TRUE;FALSE;FALSE;FALSE;FALSE
Gibraltar;TRUE;TRUE;FALSE;FALSE;FALSE
Greece;TRUE;FALSE;FALSE;FALSE;FALSE
Grenada;TRUE;FALSE;FALSE;FALSE;FALSE
Guatemala;TRUE;FALSE;FALSE;FALSE;FALSE
Guinea;TRUE;FALSE;FALSE;FALSE;FALSE
Guinea-Bissau;FALSE;FALSE;TRUE;FALSE;FALSE
Guyana;TRUE;FALSE;FALSE;FALSE;FALSE
Haiti;TRUE;FALSE;FALSE;FALSE;FALSE
Hong Kong;TRUE;TRUE;FALSE;FALSE;FALSE
Honduras;TRUE;FALSE;FALSE;FALSE;FALSE
Hungary;TRUE;FALSE;FALSE;FALSE;FALSE
Iceland;TRUE;FALSE;FALSE;FALSE;FALSE
India;TRUE;FALSE;FALSE;FALSE;FALSE
Indonesia;TRUE;FALSE;FALSE;FALSE;FALSE
Iran;FALSE;FALSE;TRUE;FALSE;FALSE
Iraq;FALSE;FALSE;TRUE;FALSE;FALSE
Ireland;TRUE;FALSE;FALSE;FALSE;FALSE
Isle of Mann;TRUE;FALSE;FALSE;FALSE;FALSE
Israel;TRUE;TRUE;FALSE;FALSE;FALSE
Italy;TRUE;FALSE;FALSE;FALSE;FALSE
Jamaica;TRUE;FALSE;FALSE;FALSE;FALSE
Japan;TRUE;TRUE;FALSE;FALSE;FALSE
Jordan;TRUE;FALSE;FALSE;FALSE;FALSE
Kazakhstan;TRUE;FALSE;FALSE;FALSE;FALSE
Kenya;TRUE;FALSE;FALSE;FALSE;FALSE
Kiribati;TRUE;FALSE;FALSE;FALSE;FALSE
Kosovo;FALSE;FALSE;TRUE;FALSE;FALSE
Kuwait;TRUE;FALSE;FALSE;FALSE;FALSE
Kyrgyzstan;FALSE;FALSE;TRUE;FALSE;FALSE
Laos;FALSE;FALSE;TRUE;FALSE;FALSE
Latvia;TRUE;TRUE;FALSE;FALSE;FALSE
Lebanon;TRUE;FALSE;FALSE;FALSE;FALSE
Lesotho;TRUE;FALSE;FALSE;FALSE;FALSE
Liberia;TRUE;FALSE;FALSE;FALSE;FALSE
Libiya;FALSE;FALSE;TRUE;FALSE;FALSE
Lichtenstein ;TRUE;TRUE;FALSE;FALSE;FALSE
Lithuania;TRUE;TRUE;FALSE;FALSE;FALSE
Luxembourg;TRUE;FALSE;FALSE;FALSE;FALSE
Macau;TRUE;FALSE;FALSE;FALSE;FALSE
Macedonia;TRUE;FALSE;FALSE;FALSE;FALSE
Madagascar;TRUE;FALSE;FALSE;FALSE;FALSE
Malawi;FALSE;FALSE;TRUE;FALSE;FALSE
Malaysia;TRUE;FALSE;FALSE;FALSE;FALSE
Maldives;TRUE;FALSE;FALSE;FALSE;FALSE
Mali;FALSE;FALSE;TRUE;FALSE;FALSE
Malta;TRUE;TRUE;FALSE;FALSE;FALSE
Marshall Islands;TRUE;FALSE;FALSE;FALSE;FALSE
Mauritania;TRUE;FALSE;FALSE;FALSE;FALSE
Mauritus;TRUE;FALSE;FALSE;FALSE;FALSE
Mexico;TRUE;FALSE;FALSE;FALSE;FALSE
Micronesia;TRUE;FALSE;FALSE;FALSE;FALSE
Moldova;TRUE;FALSE;FALSE;FALSE;FALSE
Monaco;TRUE;FALSE;FALSE;FALSE;FALSE
Mongolia;TRUE;FALSE;FALSE;FALSE;FALSE
Montenegro;TRUE;FALSE;FALSE;FALSE;FALSE
Morocco;TRUE;FALSE;FALSE;FALSE;FALSE
Mozambique;FALSE;FALSE;TRUE;FALSE;FALSE
Myanmar;TRUE;FALSE;FALSE;FALSE;FALSE
Namibia;TRUE;FALSE;FALSE;FALSE;FALSE
Nauru;TRUE;FALSE;FALSE;FALSE;FALSE
Nepal;FALSE;FALSE;FALSE;FALSE;FALSE
Netherlands;TRUE;FALSE;FALSE;FALSE;FALSE
New Zealand;TRUE;FALSE;FALSE;FALSE;FALSE
Nicaragua;TRUE;FALSE;FALSE;FALSE;FALSE
Niger;TRUE;FALSE;FALSE;FALSE;FALSE
Nigeria;TRUE;FALSE;FALSE;FALSE;FALSE
North Korea - Democratic People's Republic of North Korea (DPRK);FALSE;FALSE;TRUE;FALSE;FALSE
Norway;TRUE;FALSE;FALSE;FALSE;FALSE
Oman;TRUE;FALSE;FALSE;FALSE;FALSE
Pakistan;TRUE;FALSE;FALSE;FALSE;FALSE
Palau;TRUE;FALSE;FALSE;FALSE;FALSE
Palestine;TRUE;FALSE;FALSE;FALSE;FALSE
Panama;TRUE;FALSE;FALSE;FALSE;FALSE
Papua New Guines;TRUE;FALSE;FALSE;FALSE;FALSE
Paraguay;TRUE;FALSE;FALSE;FALSE;FALSE
Peru;TRUE;FALSE;FALSE;FALSE;FALSE
Philippines;TRUE;FALSE;FALSE;FALSE;FALSE
Poland;TRUE;FALSE;FALSE;FALSE;FALSE
Portugal;TRUE;FALSE;FALSE;FALSE;FALSE
Qatar;TRUE;FALSE;FALSE;FALSE;FALSE
Romania;TRUE;FALSE;FALSE;FALSE;FALSE
Russia;TRUE;TRUE;FALSE;FALSE;FALSE
Rwanda;TRUE;FALSE;FALSE;FALSE;FALSE
Saint Kitts and Nevis;TRUE;FALSE;FALSE;FALSE;FALSE
Saint Lucia;TRUE;FALSE;FALSE;FALSE;FALSE
Saint Vincent and the Grenadines;TRUE;FALSE;FALSE;FALSE;FALSE
Samoa;TRUE;FALSE;FALSE;FALSE;FALSE
San Marino;TRUE;FALSE;FALSE;FALSE;FALSE
Sao Tome and Principe;TRUE;FALSE;FALSE;FALSE;FALSE
Saudi Arabia;TRUE;FALSE;FALSE;FALSE;FALSE
Senegal;TRUE;FALSE;FALSE;FALSE;FALSE
Serbia;FALSE;FALSE;TRUE;FALSE;FALSE
Seychelles;TRUE;FALSE;FALSE;FALSE;FALSE
Sierra Leone;TRUE;FALSE;FALSE;FALSE;FALSE
Singapore;TRUE;TRUE;FALSE;TRUE;FALSE
Slovakia;TRUE;FALSE;FALSE;FALSE;FALSE
Slovenia;TRUE;FALSE;FALSE;FALSE;FALSE
Solomon Islands;TRUE;FALSE;FALSE;FALSE;FALSE
Somalia;FALSE;FALSE;TRUE;FALSE;FALSE
South Africa;TRUE;FALSE;FALSE;FALSE;FALSE
South Korea;FALSE;FALSE;FALSE;FALSE;FALSE
Spain;TRUE;FALSE;FALSE;FALSE;FALSE
Sri Lanka;FALSE;FALSE;TRUE;FALSE;FALSE
Suriname;TRUE;FALSE;FALSE;FALSE;FALSE
Sudan;FALSE;FALSE;TRUE;FALSE;FALSE
South Sudan;FALSE;FALSE;TRUE;FALSE;FALSE
Swaziland;TRUE;FALSE;FALSE;FALSE;FALSE
Sweden;TRUE;FALSE;FALSE;FALSE;FALSE
Switzerland;TRUE;TRUE;FALSE;FALSE;FALSE
Syria;FALSE;FALSE;TRUE;FALSE;FALSE
Taiwan;TRUE;FALSE;FALSE;FALSE;FALSE
Tajikistan;FALSE;FALSE;TRUE;FALSE;FALSE
Tanzania;FALSE;FALSE;TRUE;FALSE;FALSE
Thailand;TRUE;TRUE;FALSE;FALSE;FALSE
Timor-Leste;FALSE;FALSE;TRUE;FALSE;FALSE
Togo;TRUE;FALSE;FALSE;FALSE;FALSE
Tonga;TRUE;FALSE;FALSE;FALSE;FALSE
Trinidad and Tobago;FALSE;FALSE;TRUE;FALSE;FALSE
Tunisia;FALSE;FALSE;TRUE;FALSE;FALSE
Turkey;TRUE;FALSE;FALSE;FALSE;FALSE
Turkmenistan;FALSE;FALSE;FALSE;FALSE;FALSE
Tuvalu;TRUE;FALSE;FALSE;FALSE;FALSE
Uganda;FALSE;FALSE;TRUE;FALSE;FALSE
Ukraine;TRUE;FALSE;FALSE;FALSE;FALSE
United Arab Emirates;TRUE;TRUE;FALSE;FALSE;FALSE
United Kingdom;TRUE;TRUE;FALSE;FALSE;FALSE
United States of America;FALSE;FALSE;FALSE;TRUE;FALSE
Uruguay;TRUE;FALSE;FALSE;FALSE;FALSE
Uzbekistan;FALSE;FALSE;TRUE;FALSE;FALSE
Vanuatu;FALSE;FALSE;TRUE;FALSE;FALSE
Venezuela;FALSE;FALSE;TRUE;FALSE;FALSE
Vietnam;TRUE;FALSE;FALSE;FALSE;FALSE
Yemen;FALSE;FALSE;TRUE;FALSE;FALSE
Zambia;TRUE;FALSE;FALSE;FALSE;FALSE
Zimbabwe;FALSE;FALSE;TRUE;FALSE;FALSE